,id,groups,age,healthy_eating,active_lifestyle,salary
0,0,A,36,5,5,2297
1,1,A,55,3,5,1134
2,2,A,61,8,1,4969
3,3,O,29,3,6,902
4,4,O,34,6,2,3574
5,5,O,42,5,3,2761
6,6,AB,53,4,6,1484
7,7,B,41,8,6,3809
8,8,A,47,5,6,2065
9,9,A,31,4,8,1020
10,10,A,47,6,9,1950
11,11,O,40,7,1,4387
12,12,O,41,3,2,1830
13,13,O,46,6,8,2182
14,14,AB,51,7,5,3460
15,15,B,57,3,8,662
16,16,A,33,3,5,1134
17,17,A,41,4,8,1020
18,18,A,46,2,6,779
19,19,O,32,7,6,3228
20,20,O,57,7,6,3228
21,21,O,26,1,6,1360
22,22,AB,59,7,5,3460
23,23,B,55,6,4,3110
24,24,A,51,5,8,1601
25,25,A,63,6,7,2414
26,26,A,62,9,6,4390
27,27,O,37,3,5,1134
28,28,O,63,6,7,2414
29,29,O,20,8,6,3809
30,30,AB,63,4,7,1252
31,31,B,54,7,8,2764
32,32,A,58,3,8,662
33,33,A,18,4,6,1484
34,34,A,29,5,7,1833
35,35,O,61,2,4,785
36,36,O,51,5,5,2297
37,37,O,22,3,5,1134
38,38,AB,36,3,7,670
39,39,B,62,2,6,779
40,40,A,54,6,8,2182
41,41,A,55,5,3,2761
42,42,A,55,6,7,2414
43,43,O,42,4,10,556
44,44,O,41,6,6,2646
45,45,O,43,5,8,1601
46,46,AB,24,4,3,2179
47,47,B,44,4,6,1484
48,48,A,42,5,6,2065
49,49,A,54,6,9,1950
50,50,A,34,3,6,902
51,51,O,32,5,8,1601
52,52,O,28,7,2,4155
53,53,O,18,2,4,785
54,54,AB,64,3,7,670
55,55,B,44,6,5,2878
56,56,A,56,5,5,2297
57,57,A,54,6,1,3806
58,58,A,23,9,6,4390
59,59,O,42,8,3,4505
60,60,O,64,7,10,2300
61,61,O,57,3,5,1134
62,62,AB,20,5,5,2297
63,63,B,37,5,3,2761
64,64,A,45,7,4,3691
65,65,A,45,6,6,2646
66,66,A,27,3,4,1366
67,67,O,43,6,3,3342
68,68,O,20,5,7,1833
69,69,O,28,8,5,4041
70,70,AB,60,3,2,1830
71,71,B,34,4,4,1948
72,72,A,21,5,1,3225
73,73,A,50,5,7,1833
74,74,A,31,6,7,2414
75,75,O,26,8,6,3809
76,76,O,59,4,5,1716
77,77,O,21,7,7,2996
78,78,AB,61,6,8,2182
79,79,B,47,6,8,2182
80,80,A,30,3,2,1830
81,81,A,19,5,2,2993
82,82,A,56,6,6,2646
83,83,O,49,9,6,4390
84,84,O,39,3,4,1366
85,85,O,64,7,6,3228
86,86,AB,53,6,5,2878
87,87,B,28,6,6,2646
88,88,A,62,5,7,1833
89,89,A,57,3,7,670
90,90,A,55,1,9,2056
91,91,O,25,4,6,1484
92,92,O,31,8,1,4969
93,93,O,34,7,6,3228
94,94,AB,47,5,8,1601
95,95,B,40,3,3,1598
96,96,A,32,8,1,4969
97,97,A,32,6,6,2646
98,98,A,56,6,8,2182
99,99,O,19,4,6,1484
100,100,O,45,4,6,1484
101,101,O,60,5,7,1833
102,102,AB,37,4,6,1484
103,103,B,36,3,8,662
104,104,A,59,6,7,2414
105,105,A,48,9,5,4622
106,106,A,56,6,5,2878
107,107,O,52,6,9,1950
108,108,O,25,6,5,2878
109,109,O,51,3,5,1134
110,110,AB,30,4,7,1252
111,111,B,46,5,5,2297
112,112,A,45,6,8,2182
113,113,A,44,3,3,1598
114,114,A,49,7,6,3228
115,115,O,50,2,7,1011
116,116,O,26,5,3,2761
117,117,O,30,3,6,902
118,118,AB,21,4,8,1020
119,119,B,48,8,9,3113
120,120,A,37,6,5,2878
121,121,A,28,7,6,3228
122,122,A,29,5,1,3225
123,123,O,28,5,4,2529
124,124,O,64,3,9,894
125,125,O,44,4,8,1020
126,126,AB,63,3,7,670
127,127,B,37,9,7,4158
128,128,A,18,3,3,1598
129,129,A,60,6,5,2878
130,130,A,22,6,8,2182
131,131,O,62,6,7,2414
132,132,O,58,1,5,1128
133,133,O,41,0,8,2406
134,134,AB,19,6,5,2878
135,135,B,21,2,3,1017
136,136,A,43,5,4,2529
137,137,A,53,4,10,556
138,138,A,43,2,9,1475
139,139,O,32,6,8,2182
140,140,O,43,4,2,2411
141,141,O,26,7,7,2996
142,142,AB,38,6,5,2878
143,143,B,62,1,2,667
144,144,A,33,4,5,1716
145,145,A,29,6,4,3110
146,146,A,46,7,4,3691
147,147,O,39,6,3,3342
148,148,O,44,5,6,2065
149,149,O,41,6,6,2646
150,150,AB,49,5,4,2529
151,151,B,58,1,6,1360
152,152,A,55,7,3,3923
153,153,A,54,6,5,2878
154,154,A,51,4,7,1252
155,155,O,34,6,9,1950
156,156,O,19,5,6,2065
157,157,O,51,7,5,3460
158,158,AB,44,6,9,1950
159,159,B,30,7,6,3228
160,160,A,32,4,5,1716
161,161,A,52,2,6,779
162,162,A,33,7,6,3228
163,163,O,25,7,6,3228
164,164,O,36,3,9,894
165,165,O,27,7,3,3923
166,166,AB,59,6,8,2182
167,167,B,38,3,8,662
168,168,A,54,8,5,4041
169,169,A,58,5,5,2297
170,170,A,63,5,2,2993
171,171,O,50,3,6,902
172,172,O,32,2,6,779
173,173,O,58,9,5,4622
174,174,AB,21,3,6,902
175,175,B,39,3,6,902
176,176,A,21,6,6,2646
177,177,A,31,2,9,1475
178,178,A,44,3,6,902
179,179,O,49,7,9,2532
180,180,O,35,3,6,902
181,181,O,30,7,8,2764
182,182,AB,49,8,5,4041
183,183,B,61,4,7,1252
184,184,A,31,5,6,2065
185,185,A,38,8,5,4041
186,186,A,22,5,5,2297
187,187,O,23,3,8,662
188,188,O,48,8,6,3809
189,189,O,34,4,6,1484
190,190,AB,33,6,8,2182
191,191,B,43,7,5,3460
192,192,A,43,3,6,902
193,193,A,36,4,5,1716
194,194,A,34,4,5,1716
195,195,O,56,5,7,1833
196,196,O,18,3,4,1366
197,197,O,51,8,6,3809
198,198,AB,34,3,6,902
199,199,B,50,4,3,2179
200,200,A,18,4,5,1716
201,201,A,44,7,8,2764
202,202,A,46,5,3,2761
203,203,O,35,10,8,4508
204,204,O,55,7,8,2764
205,205,O,31,3,6,902
206,206,AB,20,6,2,3574
207,207,B,58,9,6,4390
208,208,A,23,9,3,5086
209,209,A,37,6,7,2414
210,210,A,39,4,6,1484
211,211,O,22,8,8,3345
212,212,O,22,9,2,5318
213,213,O,50,6,6,2646
214,214,AB,25,3,1,2062
215,215,B,61,9,9,3694
216,216,A,18,4,8,1020
217,217,A,53,4,8,1020
218,218,A,37,0,4,1478
219,219,O,38,5,8,1601
220,220,O,50,4,4,1948
221,221,O,59,5,2,2993
222,222,AB,23,3,4,1366
223,223,B,32,7,6,3228
224,224,A,40,8,9,3113
225,225,A,47,4,5,1716
226,226,A,26,3,6,902
227,227,O,24,5,3,2761
228,228,O,54,7,6,3228
229,229,O,41,6,7,2414
230,230,AB,58,2,7,1011
231,231,B,50,7,7,2996
232,232,A,29,3,7,670
233,233,A,55,3,4,1366
234,234,A,64,5,5,2297
235,235,O,23,4,5,1716
236,236,O,55,5,6,2065
237,237,O,49,4,4,1948
238,238,AB,40,2,9,1475
239,239,B,50,7,6,3228
240,240,A,63,1,8,1824
241,241,A,43,3,3,1598
242,242,A,48,4,1,2643
243,243,O,30,3,3,1598
244,244,O,63,4,9,788
245,245,O,64,6,6,2646
246,246,AB,59,1,2,667
247,247,B,33,3,3,1598
248,248,A,62,4,3,2179
249,249,A,60,3,7,670
250,250,A,60,5,3,2761
251,251,O,35,8,6,3809
252,252,O,24,5,3,2761
253,253,O,29,4,6,1484
254,254,AB,18,4,5,1716
255,255,B,25,7,3,3923
256,256,A,57,4,5,1716
257,257,A,28,6,2,3574
258,258,A,44,6,2,3574
259,259,O,53,6,6,2646
260,260,O,63,6,8,2182
261,261,O,44,4,5,1716
262,262,AB,58,5,9,1369
263,263,B,20,3,9,894
264,264,A,24,3,1,2062
265,265,A,25,5,6,2065
266,266,A,46,8,6,3809
267,267,O,57,4,3,2179
268,268,O,57,4,7,1252
269,269,O,36,7,3,3923
270,270,AB,51,10,4,5435
271,271,B,59,3,4,1366
272,272,A,21,6,6,2646
273,273,A,41,9,4,4854
274,274,A,33,9,3,5086
275,275,O,57,7,6,3228
276,276,O,47,3,6,902
277,277,O,41,5,7,1833
278,278,AB,58,5,9,1369
279,279,B,50,4,9,788
280,280,A,54,6,4,3110
281,281,A,52,5,6,2065
282,282,A,54,6,2,3574
283,283,O,35,7,3,3923
284,284,O,18,2,4,785
285,285,O,45,6,8,2182
286,286,AB,58,6,7,2414
287,287,B,25,4,1,2643
288,288,A,19,5,5,2297
289,289,A,27,4,4,1948
290,290,A,43,6,6,2646
291,291,O,23,6,4,3110
292,292,O,39,4,7,1252
293,293,O,41,9,6,4390
294,294,AB,37,8,5,4041
295,295,B,52,2,10,1707
296,296,A,52,4,4,1948
297,297,A,44,4,1,2643
298,298,A,33,1,9,2056
299,299,O,43,4,8,1020
300,300,O,19,5,4,2529
301,301,O,21,5,4,2529
302,302,AB,37,4,5,1716
303,303,B,46,3,7,670
304,304,A,50,4,7,1252
305,305,A,37,3,6,902
306,306,A,30,5,8,1601
307,307,O,37,4,5,1716
308,308,O,49,6,4,3110
309,309,O,19,6,7,2414
310,310,AB,42,9,7,4158
311,311,B,62,3,10,1126
312,312,A,42,8,3,4505
313,313,A,21,5,9,1369
314,314,A,25,1,4,896
315,315,O,33,3,3,1598
316,316,O,20,4,3,2179
317,317,O,59,7,7,2996
318,318,AB,62,4,8,1020
319,319,B,22,5,3,2761
320,320,A,40,8,9,3113
321,321,A,50,7,6,3228
322,322,A,62,3,8,662
323,323,O,33,5,9,1369
324,324,O,23,8,8,3345
325,325,O,51,5,7,1833
326,326,AB,36,5,9,1369
327,327,B,61,4,5,1716
328,328,A,60,4,7,1252
329,329,A,56,2,7,1011
330,330,A,58,6,6,2646
331,331,O,20,0,5,1710
332,332,O,60,6,4,3110
333,333,O,46,4,7,1252
334,334,AB,55,4,7,1252
335,335,B,61,9,5,4622
336,336,A,28,6,5,2878
337,337,A,44,8,4,4273
338,338,A,54,5,7,1833
339,339,O,35,10,9,4276
340,340,O,62,0,5,1710
341,341,O,28,7,4,3691
342,342,AB,42,4,7,1252
343,343,B,53,2,5,553
344,344,A,25,5,7,1833
345,345,A,57,5,3,2761
346,346,A,60,5,8,1601
347,347,O,34,3,5,1134
348,348,O,19,5,6,2065
349,349,O,49,7,5,3460
350,350,AB,35,5,6,2065
351,351,B,55,5,0,3457
352,352,A,63,3,5,1134
353,353,A,46,7,7,2996
354,354,A,55,5,6,2065
355,355,O,29,3,5,1134
356,356,O,28,4,4,1948
357,357,O,46,1,7,1592
358,358,AB,58,7,6,3228
359,359,B,28,3,6,902
360,360,A,31,4,7,1252
361,361,A,56,5,3,2761
362,362,A,43,5,10,1137
363,363,O,26,4,3,2179
364,364,O,46,1,4,896
365,365,O,41,5,7,1833
366,366,AB,50,5,7,1833
367,367,B,58,4,3,2179
368,368,A,56,5,5,2297
369,369,A,49,7,6,3228
370,370,A,20,8,6,3809
371,371,O,31,2,4,785
372,372,O,61,5,10,1137
373,373,O,54,6,5,2878
374,374,AB,23,7,8,2764
375,375,B,53,5,7,1833
376,376,A,62,3,6,902
377,377,A,47,3,8,662
378,378,A,43,2,3,1017
379,379,O,30,4,5,1716
380,380,O,36,7,3,3923
381,381,O,48,6,5,2878
382,382,AB,61,6,7,2414
383,383,B,45,3,9,894
384,384,A,33,4,7,1252
385,385,A,31,5,7,1833
386,386,A,20,3,5,1134
387,387,O,55,5,5,2297
388,388,O,24,6,5,2878
389,389,O,46,6,5,2878
390,390,AB,52,7,1,4387
391,391,B,56,3,7,670
392,392,A,62,4,7,1252
393,393,A,58,2,6,779
394,394,A,42,6,7,2414
395,395,O,53,7,3,3923
396,396,O,18,8,9,3113
397,397,O,62,8,7,3577
398,398,AB,38,6,4,3110
399,399,B,60,3,5,1134
400,400,A,49,7,8,2764
401,401,A,18,5,8,1601
402,402,A,28,6,5,2878
403,403,O,22,6,7,2414
404,404,O,27,7,5,3460
405,405,O,42,3,5,1134
406,406,AB,31,6,5,2878
407,407,B,19,6,2,3574
408,408,A,25,2,5,553
409,409,A,18,4,8,1020
410,410,A,34,3,3,1598
411,411,O,44,6,8,2182
412,412,O,42,7,3,3923
413,413,O,46,6,8,2182
414,414,AB,35,5,8,1601
415,415,B,53,1,10,2288
416,416,A,30,2,5,553
417,417,A,60,4,3,2179
418,418,A,22,3,3,1598
419,419,O,58,6,9,1950
420,420,O,47,5,4,2529
421,421,O,33,3,6,902
422,422,AB,64,4,7,1252
423,423,B,47,2,5,553
424,424,A,56,3,0,2294
425,425,A,30,3,6,902
426,426,A,43,8,8,3345
427,427,O,32,7,4,3691
428,428,O,31,5,6,2065
429,429,O,48,6,7,2414
430,430,AB,23,4,3,2179
431,431,B,21,4,6,1484
432,432,A,51,4,9,788
433,433,A,18,6,4,3110
434,434,A,34,5,4,2529
